SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION,,
The Gulfstream Sale (2021),3/31/21,23,B,F,UNCAPTURED,SONG OF ROYALTY,UNBRIDLED'S SONG,RANDY BRADSHAW AGENT III,OUT,0,,3/17/19,FLORIDA,23,,,https://vimeo.com/526742181/1af244649d,10.3,https://www.youtube.com/watch?v=rgc_6lcKg-U
The Gulfstream Sale (2021),3/31/21,24,B,F,FLATTER,SONG SUNG TRUE,UNBRIDLED'S SONG,HARTLEY/DE RENZO THOROUGHBREDS AGENT,CHEYENNE STABLES/ GAILLARDIA RACING LLC,400000,,3/27/19,KENTUCKY,23,,,,10.2,https://www.youtube.com/watch?v=RpgG_OMs1cc
The Gulfstream Sale (2021),3/31/21,25,B,C,VIOLENCE,SOPHRONIA,STREET SENSE,KIRKWOOD STABLES AGENT FOR GULFSTREAM GALLOP I,DIRICO R & B LLC AND PAUL DIRICO,130000,Y,3/16/19,KENTUCKY,23,,,https://vimeo.com/528107624,G,https://www.youtube.com/watch?v=9MFz9M-waS0
The Gulfstream Sale (2021),3/31/21,26,B,C,TIZNOW,SPECIAL TREAT,CANDY RIDE (ARG),HOBY & LAYNA KIGHT AGENT,SEAN DOWNES,110000,,2/14/19,KENTUCKY,23,,,,22.2,https://www.youtube.com/watch?v=ntyvIqQL-sw
The Gulfstream Sale (2021),3/31/21,27,DKB,C,SPEIGHTSTOWN,DESIRE STREET,CONGRATS,DE MERIC SALES AGENT,CHERIE DEVAUX/MYRACEHORSE.COM,160000,Y,2/20/19,KENTUCKY,25,,,https://vimeo.com/528625430,10.1,https://www.youtube.com/watch?v=ig1u7g4ytos
The Gulfstream Sale (2021),3/31/21,28,B,C,NYQUIST,SPINNING WHEEL,SMART STRIKE,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT VIII,JAMIE MCCALMONT AGENT FOR M.V. MAGNIER,2600000,,2/4/19,KENTUCKY,23,,,https://vimeo.com/526926854,9.4,https://www.youtube.com/watch?v=ZMJPHZOhIjg
The Gulfstream Sale (2021),3/31/21,29,DKB,C,NYQUIST,SPIRIT OF THE DAWN,MALIBU MOON,EDDIE WOODS AGENT FOR THE COMPLETE DISPERSAL OF THE ESTATE OF PAUL POMPA JR.,SPENDTHRIFT FARM LLC AND WEST POINT THBDS,900000,,2/1/19,KENTUCKY,24,,,https://vimeo.com/524658720,10.2,https://www.youtube.com/watch?v=s9yKJ7WNiR0
The Gulfstream Sale (2021),3/31/21,30,B,C,KLIMT,SPRING STREET,STREET CRY (IRE),DE MERIC SALES AGENT,BFI PRODUCTS,140000,Y,3/7/19,KENTUCKY,25,,,https://vimeo.com/528625475,10.3,https://www.youtube.com/watch?v=zAmKWrngIHQ
The Gulfstream Sale (2021),3/31/21,31,B,C,PRACTICAL JOKE,S S PINAFORE,STREET SENSE,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT III,MATAICHIRO YAMAMOTO,100000,,4/19/19,KENTUCKY,23,,,https://vimeo.com/526927663,10.4,https://www.youtube.com/watch?v=gAr71D1kJ38
The Gulfstream Sale (2021),3/31/21,32,GRR,F,LIAM'S MAP,STELLABYMOONLIGHT,MALIBU MOON,SBM TRAINING & SALES LLC AGENT,OUT,0,,5/8/19,KENTUCKY,23,,,,,
The Gulfstream Sale (2021),3/31/21,33,CH,C,MASTERY,STORMY REGATTA,MIDSHIPMAN,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT XII,NOT SOLD,245000,,3/28/19,KENTUCKY,23,,,https://vimeo.com/526928476,10.3,https://www.youtube.com/watch?v=nY0loaWOjME
The Gulfstream Sale (2021),3/31/21,34,CH,C,GUN RUNNER,STORMY TAK,STORMY ATLANTIC,CLASSIC BLOODSTOCK AGENT,JOHN C. KIMMEL AGENT FOR SEAN FLANAGAN,450000,Y,4/25/19,PENNSYLVANIA,23,,,https://vimeo.com/529153752,10.2,https://www.youtube.com/watch?v=YiW25qJy1RQ
The Gulfstream Sale (2021),3/31/21,35,DKB,F,BERNARDINI,SUPER ALLISON,SUPER SAVER,KIRKWOOD STABLES AGENT FOR GULFSTREAM GALLOP III,DE MERIC SALES LLC,40000,Y,4/29/19,KENTUCKY,23,,,https://vimeo.com/528107705,G,https://www.youtube.com/watch?v=06MiYeWXk90
The Gulfstream Sale (2021),3/31/21,36,B,C,QUALITY ROAD,SURFSIDE TIARA,SCAT DADDY,DE MERIC SALES AGENT,NOT SOLD,400000,,3/17/19,FLORIDA,25,,,https://vimeo.com/528625513,10,https://www.youtube.com/watch?v=nVzUUIy4tIE
The Gulfstream Sale (2021),3/31/21,37,B,C,TIZNOW,SURPRISES WELCOMED,STORM CAT,SEQUEL BLOODSTOCK AGENT,OUT,0,,5/20/19,KENTUCKY,23,,,,,
The Gulfstream Sale (2021),3/31/21,38,GRR,F,LIAM'S MAP,SWEAT AND SADDLE,SPEIGHTSTOWN,EDDIE WOODS AGENT XXIX,ST ELIAS STABLES LLC AND WEST POINT THOROUGHBREDS,390000,,2/3/19,KENTUCKY,24,,,https://vimeo.com/524658930,10,https://www.youtube.com/watch?v=pwFWSr3m34U
The Gulfstream Sale (2021),3/31/21,39,DKB,C,STREET SENSE,SWEETIE DARLING,BERNARDINI,KIRKWOOD STABLES AGENT FOR GULFSTREAM GALLOP I,THREE DIAMONDS FARM LLC,25000,,3/25/19,NEW YORK,23,,,https://vimeo.com/528107768,G,https://www.youtube.com/watch?v=gamqTRvBUow
The Gulfstream Sale (2021),3/31/21,40,CH,F,LORD NELSON,SWEETNESS 'N LIGHT,DISTORTED HUMOR,RANDY BRADSHAW AGENT VI,OUT,0,,2/14/19,KENTUCKY,23,,,https://vimeo.com/526742572/1cfeb5f0f4,,
The Gulfstream Sale (2021),3/31/21,41,CH,C,UNION RAGS,SWEET TUNE,WOODMAN,TOP LINE SALES LLC AGENT V,OUT,0,,3/15/19,KENTUCKY,23,,,,,
The Gulfstream Sale (2021),3/31/21,42,DKB,C,MACLEAN'S MUSIC,SYSTEM TIME,GIROLAMO,GOLDEN ROCK AGENT,OUT,0,,2/8/19,KENTUCKY,23,,,,,
The Gulfstream Sale (2021),3/31/21,43,B,C,DISTORTED HUMOR,TALLY HO DIXIE,DIXIELAND BAND,TOP LINE SALES LLC AGENT I,NOT SOLD,95000,,3/23/19,KENTUCKY,23,,,https://vimeo.com/528106920,10.2,https://www.youtube.com/watch?v=Ob9BnPn2S2E
The Gulfstream Sale (2021),3/31/21,44,B,C,GORMLEY,THE BEST OPTION,PLEASANT TAP,SBM TRAINING & SALES LLC AGENT,OUT,0,,3/3/19,ILLINOIS,23,,,https://vimeo.com/518145387/6fb1b667cc,10.4,https://www.youtube.com/watch?v=lih8zVHYcnM
The Gulfstream Sale (2021),3/31/21,45,GRR,C,STREET SENSE,THISSONGSFORBAILEE,UNBRIDLED'S SONG,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT,NOT SOLD,42000,,2/23/19,KENTUCKY,23,,,https://vimeo.com/526929294,11.1,https://www.youtube.com/watch?v=g0qnkphySaA
The Gulfstream Sale (2021),3/31/21,46,CH,C,CURLIN,TIZ MIZ SUE,TIZNOW,NIALL BRENNAN STABLES AGENT VIII,OUT,0,,3/22/19,KENTUCKY,23,,,,,
The Gulfstream Sale (2021),3/31/21,47,B,C,AMERICAN PHAROAH,TIZSOMTHINGSPECIAL,TIZNOW,SCANLON TRAINING & SALES AGENT I,OUT,0,,2/25/19,KENTUCKY,23,,,https://vimeo.com/524058241,,
The Gulfstream Sale (2021),3/31/21,48,DKB,C,MUNNINGS,TO THE NINES,SUPER SAVER,SCANLON TRAINING & SALES AGENT II,JOHN C. KIMMEL AGENT FOR SEAN FLANAGAN,275000,,2/28/19,NEW YORK,23,,,https://vimeo.com/524058064,10.1,https://www.youtube.com/watch?v=ii3_9pJZa30
The Gulfstream Sale (2021),3/31/21,49,DKB,C,EMPIRE MAKER,TRIUMPHANTLY,MR. GREELEY,CLASSIC BLOODSTOCK AGENT,OUT,0,,4/1/19,KENTUCKY,23,,,https://vimeo.com/529153729,10.4,https://www.youtube.com/watch?v=z4ay4bdgWXI
The Gulfstream Sale (2021),3/31/21,50,DKB,C,UNIFIED,TRUE BLISS,YES IT'S TRUE,HIDDEN BROOK AGENT,OUT,0,,2/2/19,FLORIDA,23,,,https://vimeo.com/523964360,,
The Gulfstream Sale (2021),3/31/21,51,CH,C,CURLIN,TWIRL (IRE),GALILEO (IRE),SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,GEORGE WEAVER AGENT,400000,Y,3/19/19,KENTUCKY,23,,,https://vimeo.com/529289824,10.3,https://www.youtube.com/watch?v=SAVQvmHjQqo
The Gulfstream Sale (2021),3/31/21,52,DKB,C,EXAGGERATOR,UMAN CANDY,CANDY RIDE (ARG),CRANE THOROUGHBRED SERVICES AGENT,PINHOOK RACING,35000,,2/17/19,NEW YORK,23,,,https://youtu.be/ZAmGMCiroIs,10.3,https://www.youtube.com/watch?v=GPg-JtfYgSw
The Gulfstream Sale (2021),3/31/21,53,DKB,F,CANDY RIDE (ARG),UNICORN GIRL,A. P. FIVE HUNDRED,TOP LINE SALES LLC AGENT III,NOT SOLD,540000,,2/2/19,KENTUCKY,23,,,https://vimeo.com/528106990,10.2,https://www.youtube.com/watch?v=r8YymWCosvk
The Gulfstream Sale (2021),3/31/21,54,B,C,CONSTITUTION,VALENTINE'S PEARL,SPEIGHTSTOWN,CRANE THOROUGHBRED SERVICES AGENT,OUT,0,,4/29/19,PENNSYLVANIA,23,,,https://youtu.be/ebmnRqv22yU,10.2,https://www.youtube.com/watch?v=PQJDcKvNByQ
The Gulfstream Sale (2021),3/31/21,55,B,F,PRACTICAL JOKE,VALIANT EMILIA (PER),PEGASUS WIND,TOP LINE SALES LLC AGENT VI,OUT,0,,3/18/19,KENTUCKY,23,,,,,
The Gulfstream Sale (2021),3/31/21,56,B,C,MASTERY,VERONIQUE,MIZZEN MAST,JAMES LAYDEN AGENT,DENNIS O'NEILL,225000,,4/11/19,KENTUCKY,23,,,https://vimeo.com/529325887,10.2,https://www.youtube.com/watch?v=pbrZ-k0OZ6A
