SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic Two-Year-Olds in Training (2018),2018-05-21,19,B,F,INCLUDE,WEEKEND CONNECTION,PULPIT,EDDIE WOODS AGENT FOR DAYBREAK STABLES INC,DAVID MEAH AGENT,165000,,2016-02-03,KENTUCKY,J-K,,,,22,https://www.youtube.com/watch?v=OHji4Lml0_E
Midlantic Two-Year-Olds in Training (2018),2018-05-21,20,B,C,STORMY ATLANTIC,WELL AT THE TOP (IRE),SADLER'S WELLS,WES CARTER AGENT I,INGRID MASON/CHARLIE GALLI,40000,,2016-03-08,KENTUCKY,E-F,,,,22.4,https://www.youtube.com/watch?v=13Y79g7o-mM
Midlantic Two-Year-Olds in Training (2018),2018-05-21,21,B,C,MEDAGLIA D'ORO,WELL DRESSED,NOTEBOOK,RICEHORSE STABLES (BRANDON & ALI RICE) AGENT,NOT SOLD,345000,,2016-03-02,KENTUCKY,D-E,,,,10.2,https://www.youtube.com/watch?v=_l8bjbrjr1E
Midlantic Two-Year-Olds in Training (2018),2018-05-21,22,B,F,MORE THAN READY,WELL LIVED,TIZNOW,SEQUEL BLOODSTOCK AGENT,NOT SOLD,95000,,2016-04-07,KENTUCKY,C,,,,10.3,https://www.youtube.com/watch?v=xEf6Hkmuz9s
Midlantic Two-Year-Olds in Training (2018),2018-05-21,23,DKB,C,TAKE CHARGE INDY,WELL RECEIVED,ANY GIVEN SATURDAY,BRICK CITY THOROUGHBREDS AGENT,NOT SOLD,29000,,2016-03-03,KENTUCKY,F-G,,,,22.3,https://www.youtube.com/watch?v=aV8SFrXq0NE
Midlantic Two-Year-Olds in Training (2018),2018-05-21,24,GRR,F,CAIRO PRINCE,WEST KENTUCKY,YANKEE VICTOR,NIALL BRENNAN STABLES AGENT,NOT SOLD,42000,,2016-03-30,KENTUCKY,J,,,,10.4,https://www.youtube.com/watch?v=0NxR8utZJtE
Midlantic Two-Year-Olds in Training (2018),2018-05-21,25,B,F,ALPHA,WE THERE YET,ECTON PARK,KENNETH LEJEUNE TRAINING STABLES,EXLINE-BORDER RACING/ MARETTE FARRELL AGENT,150000,,2016-05-06,NEW YORK,L,,,,10.4,https://www.youtube.com/watch?v=JAtxV7Ywl9s
Midlantic Two-Year-Olds in Training (2018),2018-05-21,26,B,F,FED BIZ,WET N' RECKLESS,WAR FRONT,BRICK CITY THOROUGHBREDS AGENT,NOT SOLD,37000,,2016-05-09,KENTUCKY,F-G,,,,10.4,https://www.youtube.com/watch?v=tNCuGi9wZ2c
Midlantic Two-Year-Olds in Training (2018),2018-05-21,27,CH,C,STREET MAGICIAN,WHAT AM I GONNA DO,PARTNER'S HERO,CRANE THOROUGHBRED SERVICES LLC AGENT,KOID,95000,,2016-04-11,PENNSYLVANIA,D-E,,,,10.2,https://www.youtube.com/watch?v=WC25UbEIDXU
Midlantic Two-Year-Olds in Training (2018),2018-05-21,28,B,F,MORNING LINE,WHIRL,CURLIN,HIDDEN BROOK AGENT XI,TOM MCCROCKLIN,40000,Y,2016-02-09,VIRGINIA,K,,,,10.4,https://www.youtube.com/watch?v=5SLSGHJ4xRs
Midlantic Two-Year-Olds in Training (2018),2018-05-21,29,B,F,SHANGHAI BOBBY,WHISPERING,QUIET AMERICAN,GRASSROOTS TRAINING & SALES LLC,UNDERDOG,30000,,2016-03-24,NEW YORK,I,,,,10.3,https://www.youtube.com/watch?v=W-1orzKtwTw
Midlantic Two-Year-Olds in Training (2018),2018-05-21,30,DKB,C,MORE THAN READY,WHITE SANGRIA,GIANT'S CAUSEWAY,CARY FROMMER AGENT,BARBARA J HOUCK,85000,Y,2016-02-21,NEW YORK,A-B,,,,10.3,https://www.youtube.com/watch?v=PvNVSKamcSI
Midlantic Two-Year-Olds in Training (2018),2018-05-21,31,DKB,F,TRITAP,WHO GOES THERE,STREET MAGICIAN,C & C STABLES LLC AGENT FOR VIRGINIA YOUNG,TRIN-BROOK STABLES,14000,,2016-02-09,MARYLAND,J,,,,23.4,https://www.youtube.com/watch?v=njFiu500jWk
Midlantic Two-Year-Olds in Training (2018),2018-05-21,32,B,C,CENTRAL BANKER,WHOLELOTAROYALTY,CHAPEL ROYAL,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,OUT,0,,2016-02-24,NEW YORK,T,,,,,
Midlantic Two-Year-Olds in Training (2018),2018-05-21,33,DKB,C,MUNNINGS,WHO'S IN LOVE,NOT FOR LOVE,RANDY MILES AGENT,OUT,0,,2016-04-13,MARYLAND,B-C,,,,,
Midlantic Two-Year-Olds in Training (2018),2018-05-21,34,GRR,C,TAPIT,WICKED DEED,HARLAN'S HOLIDAY,RANDY MILES AGENT,OUT,0,,2016-05-12,KENTUCKY,B-C,,,,,
Midlantic Two-Year-Olds in Training (2018),2018-05-21,35,B,F,MAJESTICPERFECTION,WILD AND WINDBLOWN,BROKEN VOW,COASTAL EQUINE LLC AGENT V,NOT SOLD,21000,,2016-04-09,NEW YORK,F,,,,10.4,https://www.youtube.com/watch?v=1WIs4D_Kfcw
Midlantic Two-Year-Olds in Training (2018),2018-05-21,36,CH,F,FLAT OUT,WILDWIFE,WILD GALE,KINGS EQUINE AGENT FOR PRISTINUS THOROUGHBREDS,OUT,0,,2016-03-22,KENTUCKY,T,,,,11.3,https://www.youtube.com/watch?v=cYVF9w0USco
Midlantic Two-Year-Olds in Training (2018),2018-05-21,37,GRR,C,THE FACTOR,WILD WIT,DISTORTED HUMOR,DE MERIC SALES AGENT,NOT SOLD,95000,,2016-04-16,NEW YORK,I-J,,,,22.2,https://www.youtube.com/watch?v=VnSNXigVvZs
Midlantic Two-Year-Olds in Training (2018),2018-05-21,38,DKB,C,TIZWAY,WILDWOOD DURING,DURING,CLASSIC BLOODSTOCK AGENT VI,NOT SOLD,19000,,2016-02-12,NEW YORK,A-B,,,,10.4,https://www.youtube.com/watch?v=ya-lO9-Pjv0
Midlantic Two-Year-Olds in Training (2018),2018-05-21,39,DKB,C,TAKE CHARGE INDY,WILLA ON THE MOVE,TWO PUNCH,MARSHALL W. SILVERMAN AGENT,KSI AGENT,40000,,2016-04-05,MARYLAND,G,,,,10.3,https://www.youtube.com/watch?v=-_DiU-2fx4E
