SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,18,CH,C,RUN AWAY AND HIDE,BETT ON RUTHIE,WAR FRONT,TOM MCCROCKLIN AGENT,OUT,0,,02/23/2017,KENTUCKY,D,,,,11.1,https://www.youtube.com/watch?v=6JT6Bcn0Ljc
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,19,CH,C,ANIMAL KINGDOM,BLACK BIRD ROCK,FLOWER ALLEY,LOVACRES RANCH AGENT,NOT SOLD,14000,,03/06/2017,CALIFORNIA,A,,,,24.3,https://www.youtube.com/watch?v=3hT2-cSqlTo
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,20,B,F,BIRDSTONE,BONNYVILLE,SALT LAKE,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT FOR BLUE CHIP THOROUGHBREDS,TOM BELL,30000,,04/10/2017,KENTUCKY,C&D,,,,11,https://www.youtube.com/watch?v=Ph5PX72nOF0
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,21,DKB,G,U S RANGER,BORO,SIPHON (BRZ),WILLOW TREE FARM INC. (G.W. THOMAS),OUT,0,,04/02/2017,CALIFORNIA,A,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,22,DKB,F,DOMINUS,BUTTERSCOTCH RAIN (GB),CADEAUX GENEREUX (GB),TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT VI,NOT SOLD,9000,,04/02/2017,KENTUCKY,A&B,,,,11.1,https://www.youtube.com/watch?v=--wrGwwwaXI
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,23,B,C,CANDY RIDE (ARG),CABO DE NOCHE,CAPE TOWN,STEPHENS THOROUGHBREDS LLC AGENT I,JERRY CAROOM,100000,,02/21/2017,KENTUCKY,B,,,,11.1,https://www.youtube.com/watch?v=DWJZPWIJOy4
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,24,DKB,C,INFORMED,CAPE'S ROCKETTE,KAFWAIN,HAVENS BLOODSTOCK AGENCY INC. AGENT FOR GLENN SORGENSTEIN,MICHAEL TURPEN JOYCE LONG/AGT,5000,,03/14/2017,CALIFORNIA,B&C,,,,11.3,https://www.youtube.com/watch?v=uErqSfjPoK0
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,25,B,R,LOOKIN AT LUCKY,C C'S PRIDE,SUCCESSFUL APPEAL,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT VI,OUT,0,,05/18/2017,CALIFORNIA,A&B,,,,G,https://www.youtube.com/watch?v=X3wC4kodumg
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,26,CH,F,LUCKY PULPIT,CHAPEAU,DEPUTY MINISTER,ROBERT & LUANNE BEAN,NOT SOLD,9000,,02/17/2017,CALIFORNIA,A,,,,11.3,https://www.youtube.com/watch?v=pfCrE9F_QcQ
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,27,B,F,SQUARE EDDIE,CHARRED RARE,MOMENTUM,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT,NOT SOLD,75000,,01/02/2017,CALIFORNIA,C&D,,,,,https://www.youtube.com/watch?v=aRv5lEWokaA
