SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,18,CH,F,CATALINA CRUISER,CHRISTIANSTED,ARTIE SCHILLER,JAMES LAYDEN AGENT,NOT SOLD,18000,,04/07/2021,FLORIDA,C,,,,10.2,https://www.youtube.com/watch?v=Aez7x3k22LY
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,19,CH,F,GOLDENCENTS,CITY DIVA,CITY ZIP,WES CARTER AGENT FOR HOLLY HILL TRAINING CENTER,OUT,0,,03/22/2021,KENTUCKY,J&K,,,,,
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,20,B,F,VIOLENCE,C'MON SISTER,SUCCESSFUL APPEAL,NAVAS EQUINE,CARL A. GREGOIRE,7000,,03/18/2021,KENTUCKY,I,,,,G,https://www.youtube.com/watch?v=gYKkDQP0b3A
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,21,B,F,VINO ROSSO,CONQUEST RAMPAGE,QUALITY ROAD,TOM MCCROCKLIN AGENT,BILL REIGHTLER AGENT FOR HURON RACING VENTURES LLC,40000,,05/08/2021,KENTUCKY,I,,,,10.2,https://www.youtube.com/watch?v=zwEqpe18LnQ
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,22,CH,C,PRACTICAL JOKE,CONSPICUOUS,GHOSTZAPPER,CRANE THOROUGHBRED SERVICES LLC AGENT,GRACIE BLOODSTOCK AGENT,80000,,05/27/2021,MARYLAND,A,,,https://youtu.be/GpTxaxK1hhE,10.2,https://www.youtube.com/watch?v=FOjP6lXjXrc
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,23,CH,F,YOSHIDA (JPN),DAY IS DONE,LOOKIN AT LUCKY,CRANE THOROUGHBRED SERVICES LLC AGENT,GARY CONTESSA AGENT,20000,,04/25/2021,KENTUCKY,A,,,,10.3,https://www.youtube.com/watch?v=SJ05XS7lbVA
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,24,DKB,F,NOT THIS TIME,DELTA HOLIDAY,HARLAN'S HOLIDAY,TOM MCCROCKLIN AGENT,PEREZ STABLES LLC,11000,,05/26/2021,KENTUCKY,I,,,,10.2,https://www.youtube.com/watch?v=ZBqUyTVtOMA
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,25,DKB,C,WAR DANCER,DIAMOND LIL,TIZ WONDERFUL,TOM MCCROCKLIN AGENT,NOT SOLD,28000,,04/22/2021,NEW YORK,I,,,,10.2,https://www.youtube.com/watch?v=AAVoGu23GUg
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,26,B,C,STANFORD,DISCATSONTHESQUARE,SQUARE EDDIE,JAMES LAYDEN AGENT,OUT,0,,01/29/2021,CALIFORNIA,C,,,,10.1,https://www.youtube.com/watch?v=8mXXFtGqnrg
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,27,CH,F,ALTERNATION,ANYTHINGICANDOFORU,TEMPLE CITY,STEPHENS THOROUGHBREDS AGENT,SAB STABLE,50000,,02/14/2021,MARYLAND,I,,,,22,https://www.youtube.com/watch?v=iV3mlExgErU
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,28,CH,F,AUDIBLE,EARTH SHAKING,WAR FRONT,CESAR LOYA TRAINING & SALES AGENT FOR MARQUEE BLOODSTOCK (RAMIRO RESTREPO),OUT,0,,04/27/2021,KENTUCKY,B,,,,10.2,https://www.youtube.com/watch?v=m-ZuFu6TJ20
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,29,B,C,UNCLE MO,EMMA'S ENCORE,CONGRATS,CRANE THOROUGHBRED SERVICES LLC AGENT,SERGIO GOMEZ,10000,,02/19/2021,KENTUCKY,A,,,https://youtu.be/X-GvPp6BPy8,G,https://www.youtube.com/watch?v=rWcZi16-0Wk
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,30,B,C,ALWAYS DREAMING,END TIMES,WAR FRONT,WES CARTER AGENT FOR HOLLY HILL TRAINING CENTER,CONTI RACING STABLE,30000,,01/21/2021,KENTUCKY,J&K,,,,10.2,https://www.youtube.com/watch?v=CW6Mhf0aq3M
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,31,DKB,F,SHARP AZTECA,FIRE KEY,FRIESAN FIRE,JAMES LAYDEN AGENT,OUT,0,,05/26/2021,NEW YORK,C,,,,10.4,https://www.youtube.com/watch?v=qrV4o0fvFJM
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,32,B,C,LIAM'S MAP,FLASHY AMERICAN,FLASHY BULL,TOM MCCROCKLIN AGENT,MUIR HUT LLC,100000,,02/19/2021,FLORIDA,I,,,,10.1,https://www.youtube.com/watch?v=_lG-URphGts
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,33,DKB,C,VIOLENCE,FORBIDDEN KISS,TOUCH GOLD,CARY FROMMER LLC AGENT,TRIN-BROOK STABLE INC,60000,,05/01/2021,KENTUCKY,B,,,https://vimeo.com/839377236?share=copy,10.2,https://www.youtube.com/watch?v=pUMxTOww5sc
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,34,B,C,BOURBON COURAGE,FOREST DIVA,FORESTRY,JAMES LAYDEN AGENT,ROBIN L. GRAHAM AGT FOR STEVEN L. WALFISH,17000,,04/01/2021,MARYLAND,C,,,,10.4,https://www.youtube.com/watch?v=qwntwJIHrE0
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,35,GRR,F,ENTICED,FREEDOM COME,LIT DE JUSTICE,JAMES LAYDEN AGENT,NOT SOLD,45000,,05/05/2021,KENTUCKY,C,,,,10,https://www.youtube.com/watch?v=_hFRo0ozLwk
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,36,B,C,TAPITURE,GIANTS DIVA,GIANT'S CAUSEWAY,JAMES LAYDEN AGENT,KIRKWOOD EQUINE ADVISORY AGENT FOR ROYS MANSUR,24000,,03/13/2021,KENTUCKY,C,,,,10.3,https://www.youtube.com/watch?v=xevrpVn7GPk
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,37,CH,G,AUDIBLE,GOOD OMEN,SMART STRIKE,CESAR LOYA TRAINING & SALES AGENT,THISTLE FARMS,10000,,04/25/2021,KENTUCKY,B,,,,22.2,https://www.youtube.com/watch?v=Z68OGFiHCZU
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,38,DKB,C,TWIRLING CANDY,HABIBI (NZ),EKRAAR,CRANE THOROUGHBRED SERVICES LLC AGENT,STEVE KLESARIS AGENT FOR TOM LAMARCA,35000,,04/10/2021,KENTUCKY,A,,,https://youtu.be/Vcj6vFstFzU,21.4,https://www.youtube.com/watch?v=iAi-sGyLNxM
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,39,B,C,CATHOLIC BOY,HAPPY MOTORING,HARLAN'S HOLIDAY,CRANE THOROUGHBRED SERVICES LLC AGENT,OUT,0,,05/17/2021,KENTUCKY,A,,,,,
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,40,B,C,IMAGINING,HOLIDAY QUEEN,HARLAN'S HOLIDAY,JAMES LAYDEN AGENT,DIANE OLSON,20000,,03/01/2021,MARYLAND,C,,,,21.2,https://www.youtube.com/watch?v=dayhU6UUiAQ
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,41,DKB,C,GOOD SAMARITAN,JOYCE,ROCK HARD TEN,WES CARTER AGENT FOR HOLLY HILL TRAINING CENTER,KERI BRION/BUTLER HALL,14000,,03/16/2021,KENTUCKY,J&K,,,,11,https://www.youtube.com/watch?v=JPhoFl9q3p4
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,42,CH,F,ENGLISH CHANNEL,JR'S JOY,KITTEN'S JOY,CRANE THOROUGHBRED SERVICES LLC AGENT,ECLIPSE THOROUGHBRED PARTNERS,32000,,03/22/2021,ONTARIO,A,,,https://youtu.be/X3tM1-ExlI0,10.3,https://www.youtube.com/watch?v=Mi7LGDEQ--4
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,43,B,C,ENTICED,JUST JOYFUL,STREET BOSS,WES CARTER AGENT FOR CROSSED SABRES FARM,DAVIE NEILSON,6000,,04/24/2021,KENTUCKY,J&K,,,,11.2,https://www.youtube.com/watch?v=KXqhQ5tO_wA
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,44,GRR,C,WAR DANCER,KIMBERLY JEAN,MORE THAN READY,WES CARTER AGENT FOR LEMON CREEK FARM,RICHIES WORLD STABLES LLC,22000,,04/08/2021,NEW YORK,J&K,,,,10.2,https://www.youtube.com/watch?v=WQbKmqrDFv0
Midlantic June Two-Year-Olds in Training (2023),2023-06-28,45,B,C,WAR FRONT,KRAM,COLONEL JOHN,KINGS EQUINE AGENT,NOT SOLD,85000,,03/18/2021,KENTUCKY,J,,,https://youtu.be/46JGRZ578Gs,10.1,https://www.youtube.com/watch?v=D7fimqQwskM
