SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,17,B,F,SKY MESA,AMADEUS MELODY (GB),AMADEUS WOLF (GB),KINGS EQUINE AGENT,ARROYO BLOODSTOCK AGENT FOR ROY LINDSAY,33000,,04/18/2021,KENTUCKY,T,,,,10.3,https://www.youtube.com/watch?v=8mnYhFJ_dNs
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,18,B,F,GUN RUNNER,AMBER ISLE,FIRST DEFENCE,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT II,MWG LLC,50000,,05/03/2021,KENTUCKY,T,,,https://vimeo.com/825299476?share=copy,10.3,https://www.youtube.com/watch?v=FimSTLE13XY
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,19,B,F,UPTOWNCHARLYBROWN,ANGEL FOOD,SIDNEY'S CANDY,GRASSROOTS TRAINING AND SALES LLC AGENT I,OUT,0,,04/12/2021,PENNSYLVANIA,I,,,,10.3,https://www.youtube.com/watch?v=39627nDETBU
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,20,DKB,F,PRACTICAL JOKE,ANNIE WALKER,WAR CHANT,PICK VIEW LLC AGENT,OUT,0,,04/09/2021,NEW YORK,T,,,,,
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,21,CH,F,MUNNINGS,ANOTHER WORLD,MARIA'S MON,NIALL BRENNAN STABLES AGENT XIV,OUT,0,,04/20/2021,NEW YORK,K,,,,,
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,22,DKB,F,ALWAYS DREAMING,ANTE UP MY FRIEND,FRIEND OR FOE,SEQUEL BLOODSTOCK AGENT FOR CHESTER & MARY BROMAN,NOT SOLD,24000,,03/12/2021,NEW YORK,H,,,https://vimeo.com/825298359?share=copy,11,https://www.youtube.com/watch?v=t7GQmUcnhdc
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,23,DKB,F,WORLD OF TROUBLE,APPEARANCE,HARLINGTON,HIDDEN BROOK AGENT (TO DISSOLVE A PARTNERSHIP),MCMAHON & HILL BLOODSTOCK AGT PORCH PARTY RACING,15000,,02/20/2021,KENTUCKY,K,,,https://www.youtube.com/watch?v=21DadACebvw,10.4,https://www.youtube.com/watch?v=-_dOFDQ6hSI
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,24,CH,F,UNION JACKSON,AQUARIVA,FLASHBACK,LG AGENT,HIGH POINT BLOODSTOCK FOR RICHARD GREELEY,47000,,03/01/2021,NEW YORK,A,,,,10.2,https://www.youtube.com/watch?v=xD3kHUBtiF0
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,25,DKB,F,SOLOMINI,ARCH ROYAL,ARCH,KINGS EQUINE AGENT,THOROSTOCK AGENT,37000,,02/27/2021,NEW YORK,T,,,,10.3,https://www.youtube.com/watch?v=zWnLe5eQixg
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,26,DKB,C,NOT THIS TIME,ARCH SUPPORT,ARCH,TOM MCCROCKLIN AGENT XVII,OUT,0,,06/03/2021,FLORIDA,D&E,,,,,
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,27,CH,G,COLLECTED,ARMONY'S ANGEL,TO HONOR AND SERVE,TOP LINE SALES LLC AGENT XXXI,OUT,0,,04/15/2021,PENNSYLVANIA,E&F,,,https://vimeo.com/827830958,11,https://www.youtube.com/watch?v=EMSzPhiVcto
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,28,B,F,NOT THIS TIME,ARONIA,MUTAKDDIM,JAMES LAYDEN AGENT,ORACLE BLOODSTOCK AGENT,125000,Y,04/02/2021,VIRGINIA,D,,,https://vimeo.com/827689202,10.4,https://www.youtube.com/watch?v=jmgV_svqDBk
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,29,B,F,CABLE BAY (IRE),ART INSTITUTE,ARCH,TOP LINE SALES LLC AGENT I,LEGION BLOODSTOCK AGENT,115000,,04/14/2021,IRE,E&F,,,,10.3,https://www.youtube.com/watch?v=TDD7-rd8_2c
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,30,DKB,C,ARROGATE,ASPIRING,SEEKING THE GOLD,MCKATHAN BROS. SALES AGENT,NOT SOLD,97000,,05/02/2021,KENTUCKY,J,,,https://vimeo.com/807342735/184b486ca5,10.3,https://www.youtube.com/watch?v=1yBCEYsv5O4
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,31,DKB,F,GOLDENCENTS,ASSCHER ROSE,DYNAFORMER,BRYAN FORD TRAINING STABLE LLC AGENT,MIKE GOETZ,37000,,04/13/2021,KENTUCKY,G,,,,11,https://www.youtube.com/watch?v=iDQznq127f8
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,32,DKB,C,CONSTITUTION,ATHENS QUEEN,MAJESTIC WARRIOR,EDDIE WOODS AGENT LV,HRH PRINCE SAUD BIN SALMAN RACING STABLE,105000,,03/17/2021,KENTUCKY,J&K,,,,11,https://www.youtube.com/watch?v=CzUc9_kfdNA
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,33,CH,C,FLATTER,ATLANTIC DREAM,STORMY ATLANTIC,NIALL BRENNAN STABLES AGENT XV,OUT,0,,04/22/2021,KENTUCKY,K,,,,,
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,34,CH,F,PRESERVATIONIST,A TRUE PUSSYCAT,YES IT'S TRUE,RANDY MILES AGENT I,AMIRA CHICHAKLY AGENT,27500,,04/12/2021,NEW YORK,C,,,https://vimeo.com/827408063,11,https://www.youtube.com/watch?v=bhDHAyGe7uU
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,35,CH,C,KANTHAROS,AURORA'S RIDE,MEDAGLIA D'ORO,TOM MCCROCKLIN AGENT X,DAVID PORTO,12000,,01/30/2021,KENTUCKY,D&E,,,https://vimeo.com/827937481?share=copy,10.4,https://www.youtube.com/watch?v=fcyJOyOhsnQ
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,36,CH,C,ACCELERATE,AVENDESORA,MAJESTICPERFECTION,SCANLON TRAINING & SALES AGENT I,DUTCH RACING STABLE,50000,,04/29/2021,NEW YORK,T,,,https://vimeo.com/826485347?share=copy,11,https://www.youtube.com/watch?v=QCHm5vkiAtY
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,37,B,C,UNCLE MO,AWESOME BELLA,AWESOME AGAIN,DE MERIC SALES AGENT,MICHAEL SCHEFFRES,11000,,04/02/2021,KENTUCKY,J,,,https://vimeo.com/827845275?share=copy,11.1,https://www.youtube.com/watch?v=1R-3F4M0GxU
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,38,B,C,PEACE AND JUSTICE,BACK STOP,BLAME,EDDIE WOODS AGENT LIX,SCOTT A LAKE,20000,,05/13/2021,PENNSYLVANIA,J&K,,,https://vimeo.com/824748799,23,https://www.youtube.com/watch?v=Iti5ff5P_vM
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,39,B,C,NYQUIST,BACK TO LOVE,STREET CRY (IRE),PICK VIEW LLC AGENT,RICK G JORDAN,7000,,05/07/2021,ONTARIO,T,,,https://vimeo.com/827485029,11,https://www.youtube.com/watch?v=BjTL5tY7LAg
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,40,CH,C,OMAHA BEACH,BAHAMA BABE,POINT OF ENTRY,KINGS EQUINE AGENT,DEUCE GREATHOUSE FOR TURMAN RACING,70000,,03/03/2021,KENTUCKY,T,,,,10.3,https://www.youtube.com/watch?v=IHUNDYJoH3Q
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,41,CH,C,TAPIT,BAR OF GOLD,MEDAGLIA D'ORO,SEQUEL BLOODSTOCK AGENT FOR CHESTER & MARY BROMAN,OUT,0,,03/30/2021,NEW YORK,H,,,https://vimeo.com/825301203?share=copy,11.1,
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,42,DKB,C,NOT THIS TIME,BARONESS JULIETTE,SPEIGHTSTOWN,HARTLEY/DE RENZO THOROUGHBREDS AGENT,OUT,0,,02/25/2021,IOWA,A,,,,,
Midlantic May Two-Year-Olds in Training (2023),2023-05-22,43,B,F,TWIRLING CANDY,BATALHA,SMART STRIKE,JVC TRAINING AND SALES AGENT,TAPROOT BLOODSTOCK AGENT,150000,,04/13/2021,KENTUCKY,L,,,https://vimeo.com/828200115?share=copy,10.2,https://www.youtube.com/watch?v=dVnTzC7HRoA
