SALE TITLE,SESSION,HIP,COLOR,NAME,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Gulfstream Sale (2020),,41,DKB,,C,FLATTER,MY HOPEFUL HEART,STRONG HOPE,EDDIE WOODS AGENT XXIII,,,,01/25/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,42,CH,,F,STREET BOSS,INDY SUMMER,A.P. INDY,RANDY MILES AGENT I,,,,01/20/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,43,B,,C,MINESHAFT,MYSTIC RHYME,LEMON DROP KID,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT XVI,,,,02/16/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,44,CH,SOUTHERN FLAG,C,UNION RAGS,NO CURFEW,CURLIN,EDDIE WOODS AGENT LI,,,,01/31/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,45,DKB,,C,STREET BOSS,NOT A PEEP,SUCCESSFUL APPEAL,TOM MCCROCKLIN AGENT IV,,,,02/06/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,46,GRR,,C,FROSTED,NUMERO D'ORO,MEDAGLIA D'ORO,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT II,,,,03/15/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,47,DKB,,C,CONSTITUTION,NURSE DONNA,VINDICATION,SBM TRAINING & SALES LLC AGENT,,,,02/16/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),2020-04-01,48,CH,,F,MUNNINGS,ONE FOUR THREE,MINESHAFT,CRANE THOROUGHBRED SERVICES AGENT,,,,02/02/2018,OKLAHOMA,,,,
The Gulfstream Sale (2020),,49,B,,C,MALIBU MOON,OUR KHRYSTY,NEWFOUNDLAND,EDDIE WOODS AGENT XXXVII,,,,02/13/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,50,B,,C,INTO MISCHIEF,PHOENICIA,MR PURPLE,NIALL BRENNAN STABLES AGENT II,,,,02/07/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,51,DKB,,F,HARD SPUN,PICTURESQUE,SMART STRIKE,KIRKWOOD STABLES AGENT I,,,,02/12/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,52,DKB,,F,UPSTART,PLUM,PURE PRIZE,CARY FROMMER AGENT,,,,05/02/2018,MARYLAND,,,,
The Gulfstream Sale (2020),,53,CH,WICKED PRETTY,F,VIOLENCE,PRETTY SPRINGS,WEKIVA SPRINGS,RANDY BRADSHAW AGENT I,,,,03/27/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,54,B,,C,WAR FRONT,QUEEN NEFERTITI (IRE),GALILEO (IRE),WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT VIII,,,,04/04/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,55,GRR,,F,LIAM'S MAP,RHYS,STORM CAT,TOP LINE SALES LLC AGENT VII,,,,02/09/2018,PENNSYLVANIA,,,,
The Gulfstream Sale (2020),,56,B,,C,FLINTSHIRE (GB),RHYTHM OF GRACE,KITTEN'S JOY,RANDY BRADSHAW AGENT II,,,,01/28/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,57,GRR,EASY ON THE SUGAR,F,FROSTED,RICH LOVE,NOT FOR LOVE,CARY FROMMER AGENT,,,,01/28/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,58,GRR,,C,MALIBU MOON,RIOLAMA,UNBRIDLED'S SONG,BRICK CITY THOROUGHBREDS AGENT,,,,03/06/2018,NEW YORK,,,,
