SALE TITLE,SESSION,HIP,COLOR,NAME,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Gulfstream Sale (2020),,148,CH,,C,MALIBU MOON,CONQUEST SWEETRIDE,CANDY RIDE (ARG),GOLDEN ROCK AGENT II,,,,01/30/2018,FLORIDA,,,,
The Gulfstream Sale (2020),,149,B,,C,CONSTITUTION,COUGARSTOWN,SPEIGHTSTOWN,EDDIE WOODS AGENT LXVIII,,,,03/16/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,150,DKB,,C,AMERICAN PHAROAH,COUNTERPARTY,EXCHANGE RATE,PICK VIEW LLC AGENT,,,,05/16/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,151,B,,F,RUNHAPPY,COWGIRL LUCKY,STEPHEN GOT EVEN,MCKATHAN BROS. SALES AGENT,,,,04/21/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,152,DKB,,C,EMPIRE MAKER,CURRICULUM,DANZIG,PAUL SHARP AGENT III,,,,04/14/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,153,B,,C,AMERICAN PHAROAH,DANCING TRIESTE,OLD TRIESTE,RANDY BRADSHAW AGENT I,,,,04/23/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,154,B,,C,DISTORTED HUMOR,DANDY CANDY,CANDY RIDE (ARG),SCANLON TRAINING & SALES AGENT FOR EXCEL BLOODSTOCK (BRUNO DEBERDT),,,,02/07/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,155,CH,,F,AMERICAN PHAROAH,D'CATS MEOW,D'WILDCAT,EDDIE WOODS AGENT LXVI,,,,02/03/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,156,GRR,MAP THE MOMENT,F,LIAM'S MAP,DEBORAH'S MOMENT,LEMON DROP KID,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,,,,02/12/2018,MARYLAND,,,,
The Gulfstream Sale (2020),,157,B,,C,UPSTART,DEEP IN DECEMBER,THE DADDY,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT XVII,,,,02/07/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,158,B,,C,STREET SENSE,DEPUTY VALUATION,DEPUTY MINISTER,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT X,,,,04/05/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,159,CH,,C,CURLIN,DESERT CLASSIC (GB),GREEN DESERT,KIRKWOOD STABLES AGENT V,,,,01/27/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,160,DKB,,C,INTO MISCHIEF,DESIRE STREET,CONGRATS,EDDIE WOODS AGENT XVI,,,,01/22/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,161,DKB,,C,UNCLE MO,DIPLOMAT LADY,FORESTRY,PAUL SHARP AGENT IV,,,,05/26/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,162,GRR,,C,NYQUIST,DISTURBINGLY HOT,UNBRIDLED'S SONG,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,,,,04/25/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,163,GRR,,C,CALIFORNIA CHROME,DIVA STYLE,UNBRIDLED'S SONG,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT III,,,,03/02/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,164,B,,F,UNCLE MO,DOTHRAKI QUEEN,PURE PRIZE,TOP LINE SALES LLC AGENT I,,,,02/02/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,165,DKB,,F,LIAM'S MAP,EBONY MOMENT,SMART STRIKE,CARY FROMMER AGENT,,,,02/28/2018,FLORIDA,,,,
The Gulfstream Sale (2020),,166,DKB,,C,NYQUIST,ELUSIVE CHECKERS,QUALITY ROAD,NIALL BRENNAN STABLES AGENT I,,,,03/21/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,167,B,,F,AMERICAN PHAROAH,EMPIRE CITY (JPN),EMPIRE MAKER,SCANLON TRAINING & SALES AGENT II,,,,02/19/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,168,DKB,,F,FROSTED,ENCHANTE,BLUEGRASS CAT,SBM TRAINING & SALES LLC AGENT,,,,03/22/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,169,B,,F,AIR FORCE BLUE,EXCELENTE (IRE),EXCEED AND EXCEL (AUS),RANDY BRADSHAW AGENT II,,,,02/06/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,170,B,,C,GHOSTZAPPER,EXCELLENT NEWS,RAHY,RANDY BRADSHAW AGENT II,,,,04/05/2018,NEW YORK,,,,
The Gulfstream Sale (2020),,171,B,,F,INTO MISCHIEF,EYEPOPNRUBY,TAKE ME OUT,GOLDEN ROCK AGENT I,,,,02/05/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,172,CH,,C,NYQUIST,FANCY AND FLASHY,ZENSATIONAL,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,,,,04/23/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,173,B,,F,QUALITY ROAD,FASHIONABLE FROLIC,OLD FASHIONED,RANDY BRADSHAW AGENT I,,,,03/02/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,174,CH,,C,NYQUIST,FLAT SCREEN,PULPIT,HARTLEY/DE RENZO THOROUGHBREDS AGENT,,,,04/24/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,175,B,UPANDCOMINGSTAR,F,INTO MISCHIEF,FREEDOM STAR,STREET CRY (IRE),SBM TRAINING & SALES LLC AGENT,,,,05/07/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,176,B,,C,INTO MISCHIEF,FRUHL'S GOLD,CRAFTY PROSPECTOR,HARTLEY/DE RENZO THOROUGHBREDS AGENT,,,,04/07/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,177,CH,,C,LEA,GETAWAY GIRL,SILVER DEPUTY,NIALL BRENNAN STABLES AGENT VII,,,,02/25/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,178,B,,C,INTO MISCHIEF,GLORIOUS SKY,ALDEBARAN,RANDY BRADSHAW AGENT III,,,,03/04/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,179,CH,,C,EXAGGERATOR,GO GO DANA,MALIBU MOON,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT XVI,,,,01/23/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,180,B,,C,MUNNINGS,GOLD MEDALIST,MEDAGLIA D'ORO,NIALL BRENNAN STABLES AGENT VI,,,,02/26/2018,ONTARIO,,,,
The Gulfstream Sale (2020),,181,B,EMERALD PRINCESS,F,SUPER SAVER,GREENBACK FOREST,FORESTRY,CRANE THOROUGHBRED SERVICES AGENT,,,,01/31/2018,KENTUCKY,,,,
The Gulfstream Sale (2020),,182,DKB,,C,PIONEEROF THE NILE,MOLLY MORGAN,GHOSTZAPPER,PAUL SHARP AGENT V,,,,01/19/2018,KENTUCKY,,,,
