SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Gulfstream Sale (2019),3/27/19,21,CH,C,CARPE DIEM,DEVIOUS D'ORO,MEDAGLIA D'ORO,RANDY MILES AGENT,OUT,0,,4/13/17,KENTUCKY,23,,,,,
The Gulfstream Sale (2019),3/27/19,22,DKB,C,EMPIRE MAKER,DIPLOMAT LADY,FORESTRY,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,BRIDLEWOOD FARM & HAPPY ALTER,200000,,5/19/17,KENTUCKY,23,,,,10.3,https://www.youtube.com/watch?v=EMFwfIH--3k
The Gulfstream Sale (2019),3/27/19,23,B,F,AMERICAN PHAROAH,DISTORTED POINT,DISTORTED HUMOR,PAUL SHARP AGENT,SALLUSTO & ALBINA AGENT,275000,,2/25/17,KENTUCKY,23,,,,10.2,https://www.youtube.com/watch?v=NJVOOqKJztU
The Gulfstream Sale (2019),3/27/19,24,GRR,F,PIONEEROF THE NILE,DISTURBINGLY HOT,UNBRIDLED'S SONG,HALCYON HAMMOCK FARM AGENT,OUT,0,,5/12/17,KENTUCKY,24,,,,,
The Gulfstream Sale (2019),3/27/19,25,DKB,C,CAIRO PRINCE,DREAM REGIME,ROMAN RULER,RANDY BRADSHAW AGENT,OUT,0,,4/16/17,KENTUCKY,26,,,,10.3,https://www.youtube.com/watch?v=H2cHtj2dMCA
The Gulfstream Sale (2019),3/27/19,26,DKB,C,GHOSTZAPPER,ELLIE'S MOMENT,KRIS S.,KIRKWOOD STABLES AGENT FOR MIDWAY GALLOP LLC,BRADLEY THOROUGHBREDS AGENT,200000,,5/6/17,KENTUCKY,25,,,,G,https://www.youtube.com/watch?v=t-e8g2yYbEg
The Gulfstream Sale (2019),3/27/19,27,B,C,QUALITY ROAD,EL PRADO ESSENCE,EL PRADO (IRE),BOBBY DODD AGENT,OUT,0,,4/28/17,ONTARIO,23,,,,,
The Gulfstream Sale (2019),3/27/19,28,CH,C,CANDY RIDE (ARG),ELUSIVE FATE,ELUSIVE QUALITY,TOM MCCROCKLIN AGENT,OUT,0,,1/30/17,KENTUCKY,24,,,,,
The Gulfstream Sale (2019),3/27/19,29,CH,C,TAPIT,ENCHANTED ROCK,GIANT'S CAUSEWAY,PICK VIEW LLC AGENT,NOT SOLD,325000,,2/20/17,KENTUCKY,23,,,,10.3,https://www.youtube.com/watch?v=s0eevzfVrIc
The Gulfstream Sale (2019),3/27/19,30,CH,C,WICKED STRONG,ENCORE BELLE,LEMON DROP KID,KIRKWOOD STABLES AGENT FOR MIDWAY GALLOP LLC,PERRY WOOD,40000,,2/11/17,INDIANA,25,,,,G,https://www.youtube.com/watch?v=25aRmrMFWLE
The Gulfstream Sale (2019),3/27/19,31,DKB,C,GHOSTZAPPER,ENSENADA,SEEKING THE GOLD,CRUPI'S NEW CASTLE FARM AGENT,OUT,0,,3/18/17,KENTUCKY,23,,,,,
The Gulfstream Sale (2019),3/27/19,32,B,C,UNION RAGS,ESCAMPETTE,SMART STRIKE,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT IV,OUT,0,,3/22/17,KENTUCKY,23,,,,,
The Gulfstream Sale (2019),3/27/19,33,B,C,ENGLISH CHANNEL,EXPRESSIVE STORY,AFLEET EXPRESS,KIRKWOOD STABLES AGENT FOR GULFSTREAM GALLOP LLC,NOT SOLD,40000,,3/31/17,KENTUCKY,25,,,,G,https://www.youtube.com/watch?v=KPALesDhC9M
The Gulfstream Sale (2019),3/27/19,34,B,C,THE BIG BEAST,FAITH HALL,HIGH COTTON,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,ALEX & JO ANN LIEBLONG,100000,,2/3/17,KENTUCKY,23,,,,10.4,https://www.youtube.com/watch?v=ilvJiOm9saQ
The Gulfstream Sale (2019),3/27/19,35,DKB,C,SECRET CIRCLE,FANTASY SLAM,SMOKE GLACKEN,SBM TRAINING & SALES LLC AGENT,OUT,0,,4/3/17,KENTUCKY,23,,,,10.3,https://www.youtube.com/watch?v=bSKxtogFwdw
The Gulfstream Sale (2019),3/27/19,36,B,F,STRONG MANDATE,FLY THE FLAG,GIANT'S CAUSEWAY,RANDY MILES AGENT,OUT,0,,3/21/17,KENTUCKY,23,,,,,
The Gulfstream Sale (2019),3/27/19,37,B,C,STREET SENSE,FOREST FASHION,FOREST WILDCAT,TOP LINE SALES LLC AGENT I,OUT,0,,3/1/17,KENTUCKY,23,,,,,
The Gulfstream Sale (2019),3/27/19,38,B,C,AMERICAN PHAROAH,FUNFAIR,MORE THAN READY,HARTLEY/DE RENZO THOROUGHBREDS AGENT,NOT SOLD,825000,,3/3/17,KENTUCKY,23,,,,10,https://www.youtube.com/watch?v=QNnjEiyf8BA
The Gulfstream Sale (2019),3/27/19,39,DKB,F,DISTORTED HUMOR,GILDED GOLD,GILDED TIME,JULIE DAVIES AGENT,NOT SOLD,160000,,2/14/17,KENTUCKY,23,,,,10.1,https://www.youtube.com/watch?v=VK6fWd_9ADU
The Gulfstream Sale (2019),3/27/19,40,B,C,HONOR CODE,GLACKEN'S GAL,SMOKE GLACKEN,RANDY BRADSHAW AGENT,NOT SOLD,390000,,4/25/17,KENTUCKY,26,,,,10.2,https://www.youtube.com/watch?v=QfYpwxsQ_88
The Gulfstream Sale (2019),3/27/19,41,GRR,F,CAIRO PRINCE,GRACEONTOUR,HENNY HUGHES,CARY FROMMER AGENT,NOT SOLD,180000,,3/27/17,KENTUCKY,24,,,,10.3,https://www.youtube.com/watch?v=dyXgpYphl84
The Gulfstream Sale (2019),3/27/19,42,B,F,UNCLE MO,GRAND CRU CRUZIAN,FORESTRY,WILLIAM B. HARRIGAN (MIACOMET FARM LTD.) AGENT,NOT SOLD,155000,,2/26/17,KENTUCKY,24,,,http://www.thorostride.com/sales/fasig-tipton-florida-2019-hip-42,10.4,https://www.youtube.com/watch?v=kcHfCCcS56c
The Gulfstream Sale (2019),3/27/19,43,DKB,F,MINESHAFT,GREATEST SHOW,STORM CAT,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,EPONA STABLES/DAVID MERJAN MARK HENNIG AGENT,75000,,2/10/17,KENTUCKY,23,,,,10.2,https://www.youtube.com/watch?v=ZP3dVPdQYt8
The Gulfstream Sale (2019),3/27/19,44,DKB,C,CONVEYANCE,GRIMACE,VINDICATION,SBM TRAINING & SALES LLC AGENT,NOT SOLD,275000,,4/10/17,KENTUCKY,23,,,,10,https://www.youtube.com/watch?v=vvjwIQlMvFs
The Gulfstream Sale (2019),3/27/19,45,DKB,F,LIAM'S MAP,GWINNETT,VINDICATION,RICHARDSON BLOODSTOCK AGENT,OUT,0,,2/22/17,KENTUCKY,23,,,,10,https://www.youtube.com/watch?v=u-8gLhULHy8
The Gulfstream Sale (2019),3/27/19,46,DKB,C,LIAM'S MAP,HALLOWEEN PARTY,MR. GREELEY,WILLIAM B. HARRIGAN (MIACOMET FARM LTD.) AGENT,OUT,0,,1/30/17,KENTUCKY,24,,,http://www.thorostride.com/sales/fasig-tipton-florida-2019-hip-46,10.3,https://www.youtube.com/watch?v=9h3Qhg-4C1Q
The Gulfstream Sale (2019),3/27/19,47,GRR,C,GHOSTZAPPER,HAPPY NOW,MR. GREELEY,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,CENTENNIAL FARMS LLC,550000,,3/31/17,KENTUCKY,23,,,http://www.thorostride.com/sales/fasig-tipton-florida-2019-hip-47,10.1,https://www.youtube.com/watch?v=XHZ5Fs_PuoE
The Gulfstream Sale (2019),3/27/19,48,DKB,F,LIAM'S MAP,HARLAN'S HONOR,HARLAN'S HOLIDAY,DE MERIC SALES AGENT,TEAM CASSE AGT.,175000,Y,2/21/17,FLORIDA,23,,,,10.1,https://www.youtube.com/watch?v=kDpYLTyJUeo
