SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic Two-Year-Olds in Training (2022),2022-05-23,1,DKB,C,ALWAYS DREAMING,SAFARI KITTEN,KITTEN'S JOY,LITTLE FARM EQUINE LLC AGENT,NOT SOLD,29000,,01/31/2020,KENTUCKY,J,,,https://youtu.be/TgJvQSgTt98,10.2,https://www.youtube.com/watch?v=ukRJU-0H5Gw
Midlantic Two-Year-Olds in Training (2022),2022-05-23,2,DKB,C,GUN RUNNER,SAGE MIST,HENNY HUGHES,DE MERIC SALES AGENT,COUNTRY LIFE FARM AGENT,150000,,05/05/2020,KENTUCKY,I/J,,,https://vimeo.com/711031198,10.3,https://www.youtube.com/watch?v=pTHBglj6yUM
Midlantic Two-Year-Olds in Training (2022),2022-05-23,3,B,C,TAMARKUZ,SALVADORIA,MACHO UNO,GRASSROOTS TRAINING AND SALES LLC AGENT VIII,NOT SOLD,20000,,03/17/2020,KENTUCKY,I,,,,10.4,https://www.youtube.com/watch?v=dLnrUhZp-SY
Midlantic Two-Year-Olds in Training (2022),2022-05-23,4,B,F,QUALITY ROAD,SAM'S SISTER,BROTHER DEREK,GOLDEN ROCK THOROUGHBREDS AGENT,OUT,0,,02/26/2020,KENTUCKY,K/L,,,,,
Midlantic Two-Year-Olds in Training (2022),2022-05-23,5,B,F,MUNNINGS,SANCTISSIMA,INDIAN CHARLIE,CLASSIC BLOODSTOCK AGENT VIII,OUT,0,,04/04/2020,MARYLAND,J,,,,,
Midlantic Two-Year-Olds in Training (2022),2022-05-23,6,DKB,C,PRACTICAL JOKE,SAND SHARK,HARD SPUN,NIALL BRENNAN STABLES AGENT VII,OUT,0,,05/14/2020,KENTUCKY,J/K,,,,,
Midlantic Two-Year-Olds in Training (2022),2022-05-23,7,DKB,G,ARMY MULE,SANDY BELLE,MORE THAN READY,PAUL SHARP AGENT IX,JOSE CORRALES,8000,,03/03/2020,NEW YORK,J/K,,,https://vimeo.com/710348807,G,https://www.youtube.com/watch?v=_wBBVzjNrU4
Midlantic Two-Year-Olds in Training (2022),2022-05-23,8,B,F,UNCLE MO,SANTA CATARINA,UNBRIDLED,PICK VIEW LLC AGENT,NOT SOLD,120000,,04/24/2020,KENTUCKY,T,,,https://vimeo.com/711903941,10.2,https://www.youtube.com/watch?v=ntALLAX976A
Midlantic Two-Year-Olds in Training (2022),2022-05-23,9,CH,F,NEOLITHIC,SARAHLINE,NORTHERN AFLEET,GRASSROOTS TRAINING AND SALES LLC,NICK J HINES AGENT,65000,Y,03/19/2020,PENNSYLVANIA,I,,,,10,https://www.youtube.com/watch?v=7bgn9nkvTvo
Midlantic Two-Year-Olds in Training (2022),2022-05-23,10,CH,F,MARK VALESKI,SARAMAR,LANGFUHR,TOP LINE SALES LLC AGENT X,RAYME LIGHTNER AGENT FOR NODA BROTHERS,15000,,05/14/2020,KENTUCKY,D/E,,,,10.3,https://www.youtube.com/watch?v=KwoIt_nUhfM
Midlantic Two-Year-Olds in Training (2022),2022-05-23,11,B,C,ALWAYS DREAMING,SARITTA,INDYGO SHINER,TOP LINE SALES LLC AGENT XVII,WEST BLSTK FOR ROBERT & LAWANA LOW,550000,,02/08/2020,KENTUCKY,D/E,,,,21.2,https://www.youtube.com/watch?v=-YR2ONi9-ms
Midlantic Two-Year-Olds in Training (2022),2022-05-23,12,B,C,CANDY RIDE (ARG),SAUDI PRINCESS,UNBRIDLED'S SONG,PIKE RACING AGENT,GARY CONTESSA AGENT FOR WILLIAM RITZ & HENRY NAHAL,30000,Y,05/06/2020,NEW YORK,H,,,https://vimeo.com/710563507,10.4,https://www.youtube.com/watch?v=XkPcxO5eRHk
Midlantic Two-Year-Olds in Training (2022),2022-05-23,13,DKB,C,WAR DANCER,SAVE MY PLACE,OUT OF PLACE,JULIE DAVIES LLC AGENT,OUT,0,,05/15/2020,INDIANA,E/F,,,https://vimeo.com/709988848,11,https://www.youtube.com/watch?v=OJ_bMtItKog
Midlantic Two-Year-Olds in Training (2022),2022-05-23,14,CH,C,EXAGGERATOR,SAXET HEIGHTS,OUTFLANKER,KINGS EQUINE AGENT,JOSE GARCIA BLANCO AGENT FOR RAFAEL KODESH,15000,Y,04/19/2020,NEW YORK,T,,,,10.2,https://www.youtube.com/watch?v=YQm_MDV2Q88
