SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic Two-Year-Olds in Training (2020),2020-06-29,1,DKB,F,CENTRAL BANKER,GALA REGATTA,BOSTON HARBOR,TOM MCCROCKLIN AGENT,BRUCE R. BROWN AGENT,40000,,05/03/2018,NEW YORK,I,,,,10.1,https://www.youtube.com/watch?v=KED9o17ybR4
Midlantic Two-Year-Olds in Training (2020),2020-06-29,2,DKB,F,BERNARDINI,GENTLE GALE,STORM CAT,BOBBY DODD AGENT,OUT,0,,05/16/2018,NEW YORK,K,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yo-2020-hip-2,10.3,https://www.youtube.com/watch?v=X6w7oieADJ8
Midlantic Two-Year-Olds in Training (2020),2020-06-29,3,B,C,POINT OF ENTRY,GHOST ON THE RUN,GHOSTZAPPER,CARY FROMMER LLC AGENT,NOT SOLD,13000,,01/30/2018,LOUISIANA,A-B,,,,10.4,https://www.youtube.com/watch?v=-0hF44A0Ieg
Midlantic Two-Year-Olds in Training (2020),2020-06-29,4,B,F,INTO MISCHIEF,GLOBAL HOTTIE,DIXIE CHATTER,HOBY & LAYNA KIGHT AGENT,LAUREN CARLISLE AGENT,500000,,04/04/2018,KENTUCKY,A,,,,21.3,https://www.youtube.com/watch?v=Lrf8GREkcGo
Midlantic Two-Year-Olds in Training (2020),2020-06-29,5,GRR,C,FROSTED,GLORIOUS VIEW,PLEASANT TAP,PIKE RACING AGENT,STEVEN W YOUNG AGENT,250000,,03/28/2018,KENTUCKY,E,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yo-2020-hip-5,10.3,https://www.youtube.com/watch?v=Bcj1KMhfGPk
Midlantic Two-Year-Olds in Training (2020),2020-06-29,6,DKB,F,OUTWORK,GOLD ANKLET,LEMON DROP KID,WES CARTER AGENT IV,NOT SOLD,13000,,04/01/2018,NEW YORK,F-G,,,,10.4,https://www.youtube.com/watch?v=xf6b6fmAeZs
Midlantic Two-Year-Olds in Training (2020),2020-06-29,7,CH,C,GHOSTZAPPER,GOLDEN FLAIR,MEDAGLIA D'ORO,HEMINGWAY RACING AND TRAINING AGENT,RANDI PERSAUD,25000,,03/18/2018,KENTUCKY,J,,,,11.1,https://www.youtube.com/watch?v=AawFvTIRK8Y
Midlantic Two-Year-Olds in Training (2020),2020-06-29,8,B,C,LAOBAN,GOLDSTREAK,AWESOME AGAIN,ENVISION EQUINE AGENT,CHAD SUMMERS AGENT,13000,,01/30/2018,NEW YORK,E,,,,10.3,https://www.youtube.com/watch?v=H5YCeGeh_bw
Midlantic Two-Year-Olds in Training (2020),2020-06-29,9,GRR,F,CAIRO PRINCE,GRACEONTOUR,HENNY HUGHES,SBM TRAINING AND SALES AGENT,LEO J AMBROGI,12000,,04/04/2018,KENTUCKY,J,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yo-2020-hip-9,10.3,https://www.youtube.com/watch?v=g3RfgK00Lwo
Midlantic Two-Year-Olds in Training (2020),2020-06-29,10,CH,F,FLAT OUT,GRACINHA,SIPHON (BRZ),SBM TRAINING AND SALES AGENT,RUSTY ROBERTS,10000,Y,04/05/2018,OKLAHOMA,J,,,http://www.thorostride.com/sales/fasig-tipton-midlantic-2yo-2020-hip-10,10.2,https://www.youtube.com/watch?v=ui6FpGRrixE
