SALE TITLE,SESSION,HIP,COLOR,NAME,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic Two-Year-Olds in Training (2019),2019-05-20,18,B,BONBONS FLEUR,F,TWIRLING CANDY,AMERICA'S BLOSSOM,QUIET AMERICAN,KIRKWOOD STABLES AGENT XII,FRANKLIN SMITH AGENT,50000,Y,03/20/2017,KENTUCKY,C,,,,23,https://www.youtube.com/watch?v=kF9CrEH81NA
Midlantic Two-Year-Olds in Training (2019),2019-05-20,19,DKB,,F,MINESHAFT,AMERICA'S SPIRIT,GIANT'S CAUSEWAY,CRYSTAL G PICKETT AGENT FOR MIKE DICOLA,NOT SOLD,47000,,01/19/2017,KENTUCKY,C,,,,10.2,https://www.youtube.com/watch?v=5Yj5-Zrwn8I
Midlantic Two-Year-Olds in Training (2019),2019-05-20,20,CH,,F,FAST ANNA,AMY'S GOLD,STRIKE THE GOLD,PELICAN STATE THOROUGHBREDS AGENT,OUT,0,,03/03/2017,VIRGINIA,J,,,,11.2,https://www.youtube.com/watch?v=lzlNwe8ywa4
Midlantic Two-Year-Olds in Training (2019),2019-05-20,21,DKB,,C,TIZNOW,ANDES,FORESTRY,EDDIE WOODS AGENT XIV,TRIN-BROOK STABLE,32000,,03/08/2017,KENTUCKY,J-K,,,,11,https://www.youtube.com/watch?v=AXIO-KIRwO4
Midlantic Two-Year-Olds in Training (2019),2019-05-20,22,DKB,,F,ALPHA,ANDORA SPRINGS,CAPOTE,CRANE THOROUGHBRED SERVICES LLC AGENT,ANTHONY J FONTANA,30000,,05/26/2017,NEW YORK,D-E,,,,10.4,https://www.youtube.com/watch?v=_XjZQ24Qmus
Midlantic Two-Year-Olds in Training (2019),2019-05-20,23,DKB,,F,LOOKIN AT LUCKY,ANDRI,A. P. WARRIOR,HIDDEN BROOK AGENT XII,NOT SOLD,70000,,02/27/2017,KENTUCKY,K,,,,11,https://www.youtube.com/watch?v=lYvt4lGp51o
Midlantic Two-Year-Olds in Training (2019),2019-05-20,24,GRR,,C,THE FACTOR,ANGEL ISLAND,FORESTRY,THOMAS J. GAVIN AGENT FOR INDIAN CREEK RANCH LLC,NOT SOLD,25000,,05/09/2017,KENTUCKY,I,,,,10.4,https://www.youtube.com/watch?v=eP-FSMBFOtk
Midlantic Two-Year-Olds in Training (2019),2019-05-20,25,B,,F,UNION RAGS,ANNIHILATION,NORTHERN AFLEET,TOM MCCROCKLIN AGENT,TAPROOT AGT FOR IRONHORSE   RACING STABLE LLC,30000,Y,02/26/2017,KENTUCKY,K,,,,10.3,https://www.youtube.com/watch?v=ghyoEnWGnSk
Midlantic Two-Year-Olds in Training (2019),2019-05-20,26,GRR,,F,INTO MISCHIEF,ANOTHER WORLD,MARIA'S MON,EDDIE WOODS AGENT XXIX,ROBERT P DONALDSON,55000,,03/30/2017,KENTUCKY,J-K,,,,10.4,https://www.youtube.com/watch?v=JISSEW9sldE
Midlantic Two-Year-Olds in Training (2019),2019-05-20,27,B,,C,RACE DAY,APPEALING CAT,SUCCESSFUL APPEAL,KINGS EQUINE AGENT FOR SPENDTHRIFT FARM LLC,KENNETH MCPEEK AGENT,75000,,02/18/2017,KENTUCKY,T,,,,10.3,https://www.youtube.com/watch?v=BagWXlgIlGg
