SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,100,CH,C,KLIMT,KISSMEDADDY,SCAT DADDY,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,4/16/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,101,DKB,F,STAY THIRSTY,LETSGOTOVEGAS,INDIAN CHARLIE,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,2/17/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,102,DKB,C,PIONEEROF THE NILE,LIFE IS SWEET,STORM CAT,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,2/23/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,103,CH,F,HARD SPUN,LOVE AND MARRIAGE,ARCH,CHECKMATE THOROUGHBREDS LLC AGENT,OUT,0,,4/13/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,104,GRR,C,ARROGATE,LUMINANCE,TALE OF THE CAT,KINGS EQUINE AGENT,OUT,0,,2/1/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,105,GRR,F,GRAZEN,LUNA STAR,MALIBU MOON,HAVENS BLOODSTOCK AGENCY INC. AGENT,OUT,0,,4/15/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,106,CH,F,SQUARE EDDIE,MEETMEINTHEWOODS,GENERAL MEETING,MCCARTHY BLOODSTOCK AGENT,OUT,0,,3/6/19,CALIFORNIA,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,107,B,C,PIONEEROF THE NILE,INTANGAROO,ORIENTATE,MCCARTHY BLOODSTOCK AGENT,OUT,0,,4/19/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,108,DKB,F,TIZNOW,CLASSY DEFENCE,FIRST DEFENCE,L G AGENT,NOT SOLD,34000,,4/8/19,KENTUCKY,,,,11.1,https://www.youtube.com/watch?v=CsSCGYdb4_U
Santa Anita Two-Year-Olds in Training (2021),6/23/21,109,B,C,SPEIGHTSTER,PANKHURST,ARTIE SCHILLER,L G AGENT,LITTLE RED FEATHER RACING JOHN DOWD AGENT,80000,,5/8/19,KENTUCKY,,,,10.2,https://www.youtube.com/watch?v=-7x79eStFuI
Santa Anita Two-Year-Olds in Training (2021),6/23/21,110,CH,C,VIOLENCE,JEALOUS AND JADED,JADE HUNTER,HARTLEY/DE RENZO THOROUGHBREDS AGENT,OUT,0,,5/19/19,KENTUCKY,,,,11,https://www.youtube.com/watch?v=C4oAUf9ErOY
Santa Anita Two-Year-Olds in Training (2021),6/23/21,111,B,F,STANFORD,PROMENADE,BERTRANDO,HAVENS BLOODSTOCK AGENCY INC. AGENT,HOWARD & JANET SIEGEL RACING,30000,,3/30/19,CALIFORNIA,,,,10.3,https://www.youtube.com/watch?v=xFAJP5FxJNE
Santa Anita Two-Year-Olds in Training (2021),6/23/21,112,CH,C,CARPE DIEM,BRABBLE,BERNARDINI,MCCARTHY BLOODSTOCK AGENT,OUT,0,,2/2/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,113,DKB,C,SPEIGHTSTER,MY SUGAR,CONGRATS,MCCARTHY BLOODSTOCK AGENT,OUT,0,,2/16/19,KENTUCKY,,,,,
Santa Anita Two-Year-Olds in Training (2021),6/23/21,114,CH,C,CARPE DIEM,WICKED OBSESSION,TAPIT,MCCARTHY BLOODSTOCK AGENT,ANDREW T ANDREWS,12000,,3/4/19,KENTUCKY,,,,11,https://www.youtube.com/watch?v=rDbW9noBQag
Santa Anita Two-Year-Olds in Training (2021),6/23/21,115,B,C,RUN AWAY AND HIDE,FULL OF JOY,KITTEN'S JOY,HAVENS BLOODSTOCK AGENCY INC. AGENT,AIDAN BUTLER,31000,,4/9/19,KENTUCKY,,,,11,https://www.youtube.com/watch?v=Sr85Ku_5HQU
