SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Midlantic Two-Year-Olds in Training (2021),2021-05-17,1,DKB,F,MINESHAFT,MADAM LAGONZA,KINGMAMBO,KIRKWOOD STABLES AGENT II,NOT SOLD,170000,,05/04/2019,KENTUCKY,C,,,https://vimeo.com/547297016,22,https://www.youtube.com/watch?v=5TxyrILf0XQ
Midlantic Two-Year-Olds in Training (2021),2021-05-17,2,CH,C,NOT THIS TIME,MADDALENA,GOOD AND TOUGH,RANDY MILES AGENT X,JOSEPH BESECKER,67000,,04/27/2019,NEW YORK,C,,,,11.1,https://www.youtube.com/watch?v=DRFKoxJiU2k
Midlantic Two-Year-Olds in Training (2021),2021-05-17,3,B,F,WEIGELIA,MADELAINE,WAYNE COUNTY (IRE),GRASSROOTS TRAINING AND SALES LLC,JOHN FANELLI,10000,,02/13/2019,PENNSYLVANIA,I,,,https://vimeo.com/545227935,10.4,https://www.youtube.com/watch?v=xfxkJMx0KwM
Midlantic Two-Year-Olds in Training (2021),2021-05-17,4,CH,C,HARD SPUN,MADERA DANCER,RAHY,KINGS EQUINE AGENT,NOT SOLD,60000,,04/06/2019,KENTUCKY,K,,,,10.2,https://www.youtube.com/watch?v=UlLw_s8HGG4
Midlantic Two-Year-Olds in Training (2021),2021-05-17,5,CH,F,STREET BOSS,MADE TO LOVE HER,STEVIE WONDERBOY,MASON SPRINGS LLC AGENT I,ALEX & JO ANN LIEBLONG,230000,,03/08/2019,KENTUCKY,A,,,https://youtu.be/-2WKcxplbU8,10.1,https://www.youtube.com/watch?v=UVtF1inCTuo
Midlantic Two-Year-Olds in Training (2021),2021-05-17,6,DKB,F,TWIRLING CANDY,MAJESTICA,STREET SENSE,KINGS EQUINE AGENT,NOT SOLD,50000,,03/14/2019,KENTUCKY,K,,,,10.1,https://www.youtube.com/watch?v=QlCUtVTPC00
Midlantic Two-Year-Olds in Training (2021),2021-05-17,7,B,F,GOLDENCENTS,MAJESTIC LADY,MAJESTIC WARRIOR,CRANE THOROUGHBRED SERVICES LLC AGENT,LARRY ZAP AGENT FOR MIKE MELLEN,110000,,04/26/2019,PENNSYLVANIA,F-G,,,,10.2,https://www.youtube.com/watch?v=2BLabiMSFsI
Midlantic Two-Year-Olds in Training (2021),2021-05-17,8,DKB,C,VIOLENCE,MAJESTIC MONARCH,MAJESTIC WARRIOR,ALL DREAMS EQUINE AGENT,FAMILY FUN RACING,55000,,04/11/2019,KENTUCKY,I,,,https://youtu.be/P-PljT8eLLc,22,https://www.youtube.com/watch?v=AA80DV-UpFg
Midlantic Two-Year-Olds in Training (2021),2021-05-17,9,DKB,F,OUTWORK,MAJESTIC RISK,MORE THAN READY,CLASSIC BLOODSTOCK AGENT,GMP STABLES LLC,100000,,03/06/2019,NEW YORK,J,,,https://vimeo.com/548837914,10.1,https://www.youtube.com/watch?v=sr_lDfuDzgw
Midlantic Two-Year-Olds in Training (2021),2021-05-17,10,DKB,F,FROSTED,MAJESTIC VIXEN,MAJESTICPERFECTION,JULIE DAVIES LLC AGENT,ROCKBRIDGE BLOODSTOCK,62000,,03/04/2019,KENTUCKY,E-F,,,https://vimeo.com/549072741,10.2,https://www.youtube.com/watch?v=R4Nctz8CiVU
Midlantic Two-Year-Olds in Training (2021),2021-05-17,11,B,F,OUTWORK,MALIBU ROYALTY,MALIBU MOON,JULIE DAVIES LLC AGENT,LEO J AMBROGI,29000,,03/26/2019,KENTUCKY,E-F,,,https://vimeo.com/549072761,10.2,https://www.youtube.com/watch?v=lF3KfgO1tRs
Midlantic Two-Year-Olds in Training (2021),2021-05-17,12,DKB,F,CLASSIC EMPIRE,MANE PRINCESS,MINESHAFT,JULIE DAVIES LLC AGENT,LEGACY RACING,40000,,04/15/2019,KENTUCKY,E-F,,,https://vimeo.com/549072779,10.3,https://www.youtube.com/watch?v=vIRNQw_9Rn8
Midlantic Two-Year-Olds in Training (2021),2021-05-17,13,DKB,F,UNIFIED,MAREN'S MELODY,UNBRIDLED'S SONG,SBM TRAINING AND SALES AGENT,NOT SOLD,24000,,02/08/2019,KENTUCKY,K-L,,,https://vimeo.com/546678534/5949309723,10.3,https://www.youtube.com/watch?v=ULs_SXtm7Bc
Midlantic Two-Year-Olds in Training (2021),2021-05-17,14,B,C,SPEIGHTSTER,MARGARITA FRIDAY,JOHANNESBURG,PAUL SHARP AGENT IX,MY RACEHORSE.COM,110000,,04/12/2019,KENTUCKY,J-K,,,https://vimeo.com/547232753,10.2,https://www.youtube.com/watch?v=f_7GDE86iVs
