SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Gulfstream Sale (2018),3/28/18,1,B,C,CITY ZIP,MADEIRA PARK,LANGFUHR,CARY FROMMER AGENT,NOT SOLD,525000,,3/3/16,KENTUCKY,24,,,,10.1,https://www.youtube.com/watch?v=0OKu8pKzrpI
The Gulfstream Sale (2018),3/28/18,2,B,C,NOBLE MISSION (GB),MAHKAMA,BERNARDINI,KIRKWOOD STABLES AGENT FOR GULFSTREAM GALLOP LLC,CAVES FARM,120000,,1/31/16,PENNSYLVANIA,23,,,,G,https://www.youtube.com/watch?v=4oNcDLwMEug
The Gulfstream Sale (2018),3/28/18,3,B,C,UNION RAGS,MAJESTIC JEWEL,CINDAGO,HARTLEY/DE RENZO THOROUGHBREDS AGENT,STEVEN W YOUNG AGENT,450000,,3/18/16,KENTUCKY,23,,,,10.1,https://www.youtube.com/watch?v=nliTN3GuT6A
The Gulfstream Sale (2018),3/28/18,4,CH,F,SCAT DADDY,MALIBU COUGAR,MALIBU MOON,CRUPI'S NEW CASTLE FARM AGENT,BRADLEY THOROUGHBREDS LLC AGT,375000,,2/16/16,KENTUCKY,23,,,,10.2,https://www.youtube.com/watch?v=K3rbEyi3uZs
The Gulfstream Sale (2018),3/28/18,5,DKB,C,MORE THAN READY,MANA POOLS,GONE WEST,SEQUEL BLOODSTOCK AGENT,NOT SOLD,295000,,5/5/16,KENTUCKY,23,,,,10,https://www.youtube.com/watch?v=2wjXPmgDPJ8
The Gulfstream Sale (2018),3/28/18,6,B,F,YES IT'S TRUE,ME AND MISS JONES,SMARTY JONES,SGV THOROUGHBREDS LLC (STEVEN VENOSA) AGENT,STEVEN W YOUNG AGENT,250000,,3/6/16,KENTUCKY,23,,,,10.1,https://www.youtube.com/watch?v=9Te5Urp2YHU
The Gulfstream Sale (2018),3/28/18,7,B,F,ATREIDES,MELODY'S SPIRIT,SCAT DADDY,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT V,OUT,0,,1/20/16,KENTUCKY,23,,,,10.2,https://www.youtube.com/watch?v=LbbpvzNal8g
The Gulfstream Sale (2018),3/28/18,8,B,C,QUALITY ROAD,MISS DRAKE,AFLEET ALEX,WAVERTREE STABLES INC. (CIARAN DUNNE) AGENT VII,OUT,0,,3/11/16,KENTUCKY,23,,,,10.2,https://www.youtube.com/watch?v=ESg2Do0qaWY
The Gulfstream Sale (2018),3/28/18,9,DKB,F,MEDAGLIA D'ORO,MI VIDA,DISTORTED HUMOR,NIALL BRENNAN STABLES AGENT VI,STONESTREET STABLES LLC,1200000,,4/25/16,KENTUCKY,23,,,,10,https://www.youtube.com/watch?v=waSEfcfXHIM
The Gulfstream Sale (2018),3/28/18,10,B,C,ARCH,MOURETTE,SMART STRIKE,IMAGINE...,OUT,0,,4/13/16,KENTUCKY,23,,,,,
The Gulfstream Sale (2018),3/28/18,11,CH,C,SHACKLEFORD,MS. CRUISEN',CANDY RIDE (ARG),PICK VIEW LLC AGENT,DALE ROMANS AGENT,250000,,3/12/16,PENNSYLVANIA,23,,,,10.2,https://www.youtube.com/watch?v=Mrq6rcu-AT0
